date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:52:39	33660/33660	---M--	200	added ('OK')	image/png	etag:%22f3801d8b7550d6b480426deb5911be1e-ssl%22	https://mrd0x.com/static/b1b24f7573fe00e220c8ac1a11a5538d/8c557/webview2-example.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/b1b24f7573fe00e220c8ac1a11a5538d/8c557/webview2-example.png	(from https://mrd0x.com/attacking-with-webview2-applications/)
00:52:39	66805/66805	---M--	200	added ('OK')	image/png	etag:%221ec4c8b535d476302733f82f07a071ef-ssl%22	https://mrd0x.com/static/41226910e8edebf5372e17cbff7e91ca/2ba99/js-1.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/41226910e8edebf5372e17cbff7e91ca/2ba99/js-1.png	(from https://mrd0x.com/attacking-with-webview2-applications/)
00:52:39	22580/22580	---M--	200	added ('OK')	image/png	etag:%220a2996ce08ce8d4825317718b90c022d-ssl%22	https://mrd0x.com/static/41226910e8edebf5372e17cbff7e91ca/8c557/js-1.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/41226910e8edebf5372e17cbff7e91ca/8c557/js-1.png	(from https://mrd0x.com/attacking-with-webview2-applications/)
00:52:39	19073/19073	---M--	200	added ('OK')	image/png	etag:%225c4571e1b4f31d169931ad7a83051241-ssl%22	https://mrd0x.com/static/fa7ace27d50e1f1c996b97ca731e2f22/fbf08/js.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/fa7ace27d50e1f1c996b97ca731e2f22/fbf08/js.png	(from https://mrd0x.com/attacking-with-webview2-applications/)
00:52:40	20169/20169	---M--	200	added ('OK')	image/png	etag:%22aec38a343a41402242b98f58f645a6e3-ssl%22	https://mrd0x.com/static/fa7ace27d50e1f1c996b97ca731e2f22/8c557/js.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/fa7ace27d50e1f1c996b97ca731e2f22/8c557/js.png	(from https://mrd0x.com/attacking-with-webview2-applications/)
00:52:40	1075835/1075835	---M--	200	added ('OK')	image/gif	etag:%22e9ddf0cde9675ee4b8217fda6d55c316-ssl%22	https://mrd0x.com/37d312f018e9925377455387918adbcd/demo.gif	C:/My%20Web%20Sites/attck/mrd0x.com/37d312f018e9925377455387918adbcd/demo.gif	(from https://mrd0x.com/attacking-with-webview2-applications/)
00:52:40	7832/7832	---M--	200	added ('OK')	image/png	etag:%226ec4daba9c1ab38e7ffbbd843ebe4e1f-ssl%22	https://mrd0x.com/static/06d9a74dead9c1faee8fd635c5dea56e/9c177/decoded-cookies.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/06d9a74dead9c1faee8fd635c5dea56e/9c177/decoded-cookies.png	(from https://mrd0x.com/attacking-with-webview2-applications/)
00:52:41	18588/18588	---M--	200	added ('OK')	image/png	etag:%225762acb3fc97066814ff18d5c48c5dcc-ssl%22	https://mrd0x.com/static/06d9a74dead9c1faee8fd635c5dea56e/8c557/decoded-cookies.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/06d9a74dead9c1faee8fd635c5dea56e/8c557/decoded-cookies.png	(from https://mrd0x.com/attacking-with-webview2-applications/)
00:52:41	6706/6706	---M--	200	added ('OK')	image/png	etag:%225d77a652475f92f232aa29cf3edb3b63-ssl%22	https://mrd0x.com/static/a80c9b1d8872c0b443821f27dc5af3d7/43fbc/UDF.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/a80c9b1d8872c0b443821f27dc5af3d7/43fbc/UDF.png	(from https://mrd0x.com/attacking-with-webview2-applications/)
00:52:41	21588/21588	---M--	200	added ('OK')	image/png	etag:%22c9333e35681c078d80d44533fcc67265-ssl%22	https://mrd0x.com/static/a80c9b1d8872c0b443821f27dc5af3d7/8c557/UDF.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/a80c9b1d8872c0b443821f27dc5af3d7/8c557/UDF.png	(from https://mrd0x.com/attacking-with-webview2-applications/)
00:52:41	2708/2708	---M--	200	added ('OK')	image/png	etag:%224b52c11ff8a6dcb1634ba58d3f524a46-ssl%22	https://mrd0x.com/static/f2d63a1bacf97160d2e3068195b256a4/d0e73/all-cookies.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/f2d63a1bacf97160d2e3068195b256a4/d0e73/all-cookies.png	(from https://mrd0x.com/attacking-with-webview2-applications/)
00:52:42	2116161/2116161	---M--	200	added ('OK')	image/gif	etag:%22a059d7b9778bd13907ae2a5fc8958546-ssl%22	https://mrd0x.com/b85c7d27aed8777d0414435fd924eaa2/launch.gif	C:/My%20Web%20Sites/attck/mrd0x.com/b85c7d27aed8777d0414435fd924eaa2/launch.gif	(from https://mrd0x.com/attacking-with-webview2-applications/)
00:52:42	15392/15392	---MCZ	200	added ('OK')	application/json	etag:%223fc3ce1803517954ceb774355d28c6c0-ssl-df%22	https://mrd0x.com/page-data/cortex-xdr-analysis-and-bypass/page-data.json	C:/My%20Web%20Sites/attck/mrd0x.com/page-data/cortex-xdr-analysis-and-bypass/page-data.json	(from https://mrd0x.com/cortex-xdr-analysis-and-bypass/)
00:52:42	27740/27740	---M--	200	added ('OK')	image/png	etag:%224579cc0bd97bf82925713bffc213a7b9-ssl%22	https://mrd0x.com/static/0b91f265df2ad6cada81b69ea736310e/2a08f/registry_dll.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/0b91f265df2ad6cada81b69ea736310e/2a08f/registry_dll.png	(from https://mrd0x.com/cortex-xdr-analysis-and-bypass/)
00:52:42	19430060/19430060	---M--	200	added ('OK')	image/gif	etag:%2244e2676c12507a5b59bc3e7154a0a0a1-ssl%22	https://mrd0x.com/a48dce8f12268b7a3b80f5a8702153f1/demo2.gif	C:/My%20Web%20Sites/attck/mrd0x.com/a48dce8f12268b7a3b80f5a8702153f1/demo2.gif	(from https://mrd0x.com/attacking-with-webview2-applications/)
00:52:43	17585/17585	---M--	200	added ('OK')	image/png	etag:%22385106a038b6ffad764da7e06a63ecf5-ssl%22	https://mrd0x.com/static/0b91f265df2ad6cada81b69ea736310e/8c557/registry_dll.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/0b91f265df2ad6cada81b69ea736310e/8c557/registry_dll.png	(from https://mrd0x.com/cortex-xdr-analysis-and-bypass/)
00:52:43	33502/33502	---M--	200	added ('OK')	image/png	etag:%22aedfd215267a281b6986d89735aed8b2-ssl%22	https://mrd0x.com/static/56a41839a8993d96dce123239eee6acb/a3767/cortex_disabled.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/56a41839a8993d96dce123239eee6acb/a3767/cortex_disabled.png	(from https://mrd0x.com/cortex-xdr-analysis-and-bypass/)
00:52:43	28679/28679	---M--	200	added ('OK')	image/png	etag:%22db07d55889b3da1557bf3ba7fd97ae3a-ssl%22	https://mrd0x.com/static/56a41839a8993d96dce123239eee6acb/8c557/cortex_disabled.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/56a41839a8993d96dce123239eee6acb/8c557/cortex_disabled.png	(from https://mrd0x.com/cortex-xdr-analysis-and-bypass/)
00:52:43	14045/14045	---M--	200	added ('OK')	image/png	etag:%22627f43543bac66f2269eefc5fd728062-ssl%22	https://mrd0x.com/static/c08927e6bf7288d675569dacbba8959f/a3767/support-file.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/c08927e6bf7288d675569dacbba8959f/a3767/support-file.png	(from https://mrd0x.com/cortex-xdr-analysis-and-bypass/)
00:52:44	9033/9033	---M--	200	added ('OK')	image/png	etag:%2228b6b619d0fc33fd1cb716a186b21527-ssl%22	https://mrd0x.com/static/c08927e6bf7288d675569dacbba8959f/8c557/support-file.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/c08927e6bf7288d675569dacbba8959f/8c557/support-file.png	(from https://mrd0x.com/cortex-xdr-analysis-and-bypass/)
00:52:44	17968/17968	---MCZ	200	added ('OK')	application/json	etag:%2222979881520d954d49b4a69f60bd571b-ssl-df%22	https://mrd0x.com/page-data/tampering-with-forcepoint-dlp/page-data.json	C:/My%20Web%20Sites/attck/mrd0x.com/page-data/tampering-with-forcepoint-dlp/page-data.json	(from https://mrd0x.com/tampering-with-forcepoint-dlp/)
00:52:44	11569/11569	---M--	200	added ('OK')	image/png	etag:%22e58d5c16281ff4f28a8f0da29fc74986-ssl%22	https://mrd0x.com/static/934e29c1213c77f6bc08284073967683/e2310/registry.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/934e29c1213c77f6bc08284073967683/e2310/registry.png	(from https://mrd0x.com/tampering-with-forcepoint-dlp/)
00:52:45	26966/26966	---M--	200	added ('OK')	image/png	etag:%2239b919dfaadfd269a3ffef0862261ad9-ssl%22	https://mrd0x.com/static/934e29c1213c77f6bc08284073967683/8c557/registry.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/934e29c1213c77f6bc08284073967683/8c557/registry.png	(from https://mrd0x.com/tampering-with-forcepoint-dlp/)
00:52:45	9840/9840	---M--	200	added ('OK')	image/png	etag:%22595b14b297630faee52e2f6c1f3c0fcc-ssl%22	https://mrd0x.com/static/1969c51e1692d5532942563c3a3e8dff/e4a12/registry_modified.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/1969c51e1692d5532942563c3a3e8dff/e4a12/registry_modified.png	(from https://mrd0x.com/tampering-with-forcepoint-dlp/)
